week_start,week_end,channel_name,uv
2026/3/5,2026/3/11,电信翼智,1
2026/3/5,2026/3/11,山西和教育,1
2026/3/12,2026/3/18,APP,61852
2026/3/12,2026/3/18,组卷网服务号底部按钮,1452
2026/3/12,2026/3/18,其他渠道,1095
2026/3/12,2026/3/18,学伴,315
2026/3/12,2026/3/18,组卷网公众号底部按钮,155
2026/3/12,2026/3/18,小卷首页banner,107
2026/3/12,2026/3/18,组卷网公众号新用户提醒,91
2026/3/12,2026/3/18,南平市智达信息科技有限公司,27
2026/3/12,2026/3/18,马兰花开,9
2026/3/12,2026/3/18,组卷网服务号新用户提醒,9
2026/3/12,2026/3/18,小卷开屏弹窗,5
2026/3/12,2026/3/18,电信翼智,1
2026/3/19,2026/3/25,APP,66948
2026/3/19,2026/3/25,组卷网服务号底部按钮,1267
2026/3/19,2026/3/25,其他渠道,1055
2026/3/19,2026/3/25,学伴,303
2026/3/19,2026/3/25,组卷网公众号底部按钮,172
2026/3/19,2026/3/25,小卷首页banner,118
2026/3/19,2026/3/25,组卷网公众号新用户提醒,60
2026/3/19,2026/3/25,山西和教育,46
2026/3/19,2026/3/25,组卷网服务号新用户提醒,10
2026/3/19,2026/3/25,南平市智达信息科技有限公司,9
2026/3/19,2026/3/25,马兰花开,8
2026/3/19,2026/3/25,小卷开屏弹窗,3
2026/3/19,2026/3/25,江苏凤凰报刊出版传媒有限公司,2
2026/3/19,2026/3/25,龙江教研在线,1
2026/3/26,2026/4/1,APP,75174
2026/3/26,2026/4/1,组卷网服务号底部按钮,1458
2026/3/26,2026/4/1,其他渠道,1145
2026/3/26,2026/4/1,学伴,316
2026/3/26,2026/4/1,组卷网公众号底部按钮,210
2026/3/26,2026/4/1,小卷首页banner,117
2026/3/26,2026/4/1,山西和教育,45
2026/3/26,2026/4/1,组卷网公众号新用户提醒,44
2026/3/26,2026/4/1,南平市智达信息科技有限公司,18
2026/3/26,2026/4/1,组卷网服务号新用户提醒,9
2026/3/26,2026/4/1,小卷开屏弹窗,4
2026/3/26,2026/4/1,马兰花开,3
2026/3/26,2026/4/1,组卷网公众号推文,3
2026/3/26,2026/4/1,北京市教委-京小学,1
2026/3/26,2026/4/1,通用,1
2026/3/26,2026/4/1,江苏凤凰报刊出版传媒有限公司,1
2026/4/2,2026/4/8,APP,82776
2026/4/2,2026/4/8,组卷网服务号底部按钮,1414
2026/4/2,2026/4/8,其他渠道,1340
2026/4/2,2026/4/8,学伴,376
2026/4/2,2026/4/8,组卷网公众号底部按钮,260
2026/4/2,2026/4/8,小卷首页banner,121
2026/4/2,2026/4/8,组卷网公众号新用户提醒,49
2026/4/2,2026/4/8,山西和教育,36
2026/4/2,2026/4/8,南平市智达信息科技有限公司,12
2026/4/2,2026/4/8,组卷网服务号新用户提醒,9
2026/4/2,2026/4/8,小卷开屏弹窗,8
2026/4/2,2026/4/8,北京市教委-京小学,7
2026/4/2,2026/4/8,广州大学附属教育集团,6
2026/4/2,2026/4/8,组卷网公众号推文,3
2026/4/2,2026/4/8,马兰花开,3
2026/4/2,2026/4/8,电信翼智,1
2026/4/9,2026/4/15,APP,87543
2026/4/9,2026/4/15,组卷网服务号底部按钮,1700
2026/4/9,2026/4/15,其他渠道,1329
2026/4/9,2026/4/15,学伴,367
2026/4/9,2026/4/15,组卷网公众号底部按钮,240
2026/4/9,2026/4/15,小卷首页banner,137
2026/4/9,2026/4/15,组卷网公众号新用户提醒,59
2026/4/9,2026/4/15,南平市智达信息科技有限公司,32
2026/4/9,2026/4/15,山西和教育,29
2026/4/9,2026/4/15,小卷开屏弹窗,9
2026/4/9,2026/4/15,组卷网服务号新用户提醒,9
2026/4/9,2026/4/15,广州大学附属教育集团,6
2026/4/9,2026/4/15,马兰花开,5
2026/4/9,2026/4/15,北京市教委-京小学,5
2026/4/9,2026/4/15,组卷网公众号推文,4
